Title,Price
Beige Dabu Print Cotton Flared Shorts,"3,390"
Brick Red Block Print Floral Hot Pants,"2,760"
Black Elasticated Short Cotton Boxers,"2,140"
Purple Flannel Convertible Pant Shorts,"4,630"
White Hand Beaded Short Cotton Shorts,"3,020"
Mauve Cotton Corduroy Baggy Shorts,"3,200"
Violet Striped Mangalgiri Cotton Shorts,"3,440"
Khaki Vegetable Dyed Handspun Short Shorts,"4,670"
Cotton Grey Striped Paperbag Shorts,"3,550"
Melon Orange Handspun Mirror Work Shorts,"2,610"
Vegetable Dyed Off-White Paneled Shorts,"3,940"
Indigo Cotton Denim Paneled Shorts,"3,400"
Floral Block Print Comfort Fit Shorts,"2,670"
Handspun Brown Flared Shorts,"3,720"
Yellow Vegetable Dyed Handspun Short Shorts,"4,660"
Teal Solid Cotton Short Shorts,"2,460"
Kashish Dabu Print High-Rise Comfort Fit Shorts,"2,800"
Powder Blue Checkered Handspun Shorts,"4,840"
Blue Vegetable Dyed Straight Fit Shorts,"4,020"
Block Printed Striped Boxer Shorts,"3,690"
Bottle Green Handspun Cotton Short Shorts,"4,330"
Cotton Beige Striped Paperbag Shorts,"3,550"
Dusk Beige Cotton Corduroy Baggy Shorts,"3,200"
Bagru Block Print Mustard Straight Shorts,"3,540"
